"Asking rent prices, by rental unit type and number of bedrooms, experimental estimates"
"Frequency: Quarterly"
"Table: 46-10-0092-01"
"Release date: 2025-12-02"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

,"Estimates","Average asking rent",,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Rental unit type","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vancouver, Census metropolitan area (CMA)","Apartment - No bedroom","1,730","1,680","1,640","1,670","1,650","1,620","1,600","1,580","1,610","1,630","1,690","1,710","1,760","1,870","2,020","2,150","2,120","2,190","2,340","2,280","2,230","2,230","2,200","2,150","2,120","2,110E","2,100"
,"Apartment - 1 bedroom","1,870","1,900","1,870","1,890","1,910","1,870","1,850","1,810","1,840","1,860","1,910","1,970","2,060","2,190","2,400","2,450","2,440","2,520","2,640","2,560","2,530","2,520","2,510","2,450","2,380","2,380E","2,390"
,"Apartment - 2 bedrooms","2,490","2,580","2,500","2,490","2,530","2,480","2,430","2,380","2,410","2,520","2,610","2,740","2,830","3,020","3,350E","3,400","3,300","3,470","3,580","3,510","3,440","3,360","3,390","3,250","3,170","3,160E","3,190"
,"Apartment - 3 or more bedrooms","3,480","3,670","3,670","3,500","3,400","3,150","3,150","3,220","3,290","3,520","3,570","3,720","4,050","4,370","4,680","5,020E","4,620","5,220E","4,950","4,830","4,850","4,680","4,650","4,680","4,320","4,330E","4,340"
,"Room","770","770","770","750","760","760","760","750","760","750","770","830","870","910","1,140E","1,120","1,200","1,220","1,270","1,280","1,230","1,200","1,120","1,080","1,070","1,070E","1,070"

Symbol legend:
E, use with caution




"How to cite: Statistics Canada. Table 46-10-0092-01  Asking rent prices, by rental unit type and number of bedrooms, experimental estimates"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610009201
