year,annual_rent,median_income,rent_to_income_ratio,above_30pct
2019,20160.0,43300.0,0.46558891454965357,True
2020,19350.0,45800.0,0.42248908296943233,True
2021,19920.0,44800.0,0.4446428571428571,True
2022,23400.0,45900.0,0.5098039215686274,True
2023,26790.0,46300.0,0.5786177105831534,True
