quarter,geography,rental_unit_type,avg_rent
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1910.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2610.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3570.0
2021-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1710.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1970.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2740.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3720.0
2021-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,830.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1760.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2060.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2830.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4050.0
2022-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,870.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1870.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,2190.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,3020.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,4370.0
2022-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,910.0
